date,accumulation1,accumulation2,accumulation3,accumulation4
2001.11.27,"167,87","160,02","163,74","482,86"
2001.11.28,"305,56","130,25","120,94","399,87"
2001.11.29,"288,58","141,41","100,48","350,83"
2001.11.30,"299,9","96,76","165,6","369,69"
2001.12.01,"354,6","452,68","456,45","475,32"
2001.12.02,"501,72","124,67","206,54","430,05"
2001.12.03,"392,32","152,58","161,88","350,83"
2001.12.04,"452,68","163,74","115,36","562,08"
2001.12.05,"456,45","104,2","173,04","381,01"
2001.12.06,"456,45","102,34","137,69","50,93"
2001.12.07,"426,28","173,04","107,92","411,19"
2001.12.08,"362,15","219,56","193,51","169,32"
2001.12.09,"358,37","158,16","107,92","148,85"
2001.12.10,"505,49","169,32","154,44","139,55"
2001.12.11,"439,48","148,85","128,39","111,64"
2001.12.12,"482,86","139,55","124,32","145,13"
2001.12.13,"456,45","111,64","94,63","210,26"
2001.12.14,"431,93","145,13","55,67","148,85"
2001.12.15,"477,2","210,26","89,06","215,84"
2001.12.16,"462,11","148,85","196,68","111,64"
2001.12.17,"513,04","215,84","163,28","148,85"
2001.12.18,"573,4","111,64","81,64","98,62"
2001.12.19,"492,29","148,85","356,26","156,3"
2001.12.20,"550,76","98,62","89,06","208,4"
2001.12.21,"531,9","156,3","128,03","119,08"
2001.12.22,"490,41","208,4","111,33","314,46"
2001.12.23,"448,91","119,08","150,3","87,45"
2001.12.24,"494,18","314,46","144,73","39,07"
2001.12.25,"475,32","87,45","128,03","78,15"
2001.12.26,"482,86","39,07","118,75","122,81"
2001.12.27,"399,87","78,15","133,6","141,41"
2001.12.28,"350,83","122,81","191,12","89,31"
2001.12.29,"369,69","141,41","178,13","119,08"
2001.12.30,"475,32","89,31","178,13","80,01"
2001.12.31,"430,05","119,08","139,16","104,2"
2002.01.01,"350,83","80,01","139,16","167,46"
2002.01.02,"562,08","104,2","144,73","143,27"
2002.01.03,"381,01","167,46","129,89","350,83"
2002.01.04,"50,93","143,27","137,31","126,53"
2002.01.05,"411,19","350,83","122,46","164,67"
2002.01.06,"3,77","126,53","128,03","350,83"
2002.01.07,"335,74","164,67","135,45","148,85"
2002.01.08,"350,83","350,83","148,44","109,78"
2002.01.09,"303,67","148,85","217,09","124,32"
2002.01.10,"343,28","109,78","128,03","178,13"
2002.01.11,"343,28","59,54","144,73","139,16"
2002.01.12,"305,56","143,27","141,02","139,16"
2002.01.13,"284,81","186,07","174,42","144,73"
2002.01.14,"316,88","169,32","122,46","129,89"
2002.01.15,"47,1","148,85","131,74","137,31"
2002.01.16,"282,62","137,69","118,75","122,46"
2002.01.17,"227,67","76,29","51,95","128,03"
2002.01.18,"237,48","119,08","137,31","135,45"
2002.01.19,"176,64","115,36","126,17","148,44"
2002.01.20,"294,4","137,69","192,97","217,09"
2002.01.21,"325,8","117,22","111,33","128,03"
2002.01.22,"223,74","46,52","137,31","144,73"
2002.01.23,"267,67","111,64","159,57","141,02"
2002.01.24,"259,79","93,03",167,"174,42"
2002.01.25,"110,22","137,69","137,31","122,46"
2002.01.26,"198,78","89,31","179,35","131,74"
2002.01.27,"163,36","100,48","166,54","118,75"
2002.01.28,"240,11","107,92","166,54","51,95"
2002.01.29,"192,88","139,55","164,4","137,31"
2002.01.30,"220,43","139,55","134,51","111,64"
2002.01.31,"161,39","119,08","132,38","93,03"
2002.02.01,"212,56","204,68","172,94","137,69"
2002.02.02,"153,51","208,4","172,94","89,31"
2002.02.03,"164,4","200,95","164,4","100,48"
2002.02.04,"137,77","113,5","149,46","107,92"
2002.02.05,"153,51","119,08","113,16","139,55"
2002.02.06,"153,51","100,48","107,05","139,55"
2002.02.07,"107,05","120,94","128,46","119,08"
2002.02.08,"138,08","143,27","209,82","204,68"
2002.02.09,"179,13","171,18","179,85","208,4"
2002.02.10,"261,23","107,92","173,43","200,95"
2002.02.11,"190,32","107,05","152,02","113,5"
2002.02.12,"164,2","137,69","171,28","119,08"
2002.02.13,"190,32","106,06","190,55","100,48"
2002.02.14,"199,65","145,13","154,16","164,2"
2002.02.15,"160,47","173,04","179,85","190,32"
2002.02.16,"107,05","145,13","184,13","199,65"
2002.02.17,"156,74","169,32","128,46","160,47"
2002.02.18,"156,74","89,31","171,28","107,05"
2002.02.19,"197,79","107,92","111,34","156,74"
2002.02.20,"139,94","119,08","115,62","156,74"
2002.02.21,"180,99","111,64","94,21","197,79"
2002.02.22,"162,33","184,21","179,85","162,33"
2002.02.23,"130,61","126,53","141,31","314,46"
2002.02.24,"133,97","111,64","122,04","87,45"
2002.02.25,"130,25","111,64","64,23","39,07"
2002.02.26,"182,35","152,58","162,72","78,15"
2002.02.27,"145,13","160,02","137,03","122,81"
2002.02.28,"167,46","146,99","149,87","141,41"
2002.03.01,"133,97","163,74","94,21","89,31"
2002.03.02,"148,85","182,35",167,"119,08"
2002.03.03,"178,63","111,64","147,73","80,01"
2002.03.04,"174,9","156,3","111,34","104,2"
2002.03.05,"149,87","148,85","175,57","167,46"
